Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity,pre_type,post_type,pre_side,post_side
720575940617696769,720575940624117245,31921,64506,6,1,6,KCg-d,MBON01,left,right
720575940617931547,720575940624117245,32837,64506,2,1,2,KCg-d,MBON01,left,right
720575940618110021,720575940624117245,33658,64506,4,1,4,KCg-d,MBON01,left,right
720575940618163013,720575940624117245,33901,64506,2,1,2,KCg-d,MBON01,left,right
720575940618293589,720575940624117245,34520,64506,5,1,5,KCg-d,MBON01,left,right
720575940618770230,720575940643309197,36516,132236,5,1,5,KCg-d,MBON01,right,left
720575940618903931,720575940624117245,37028,64506,2,1,2,KCg-d,MBON01,left,right
720575940618904229,720575940624117245,37030,64506,3,1,3,KCg-d,MBON01,left,right
720575940619155182,720575940624117245,38063,64506,2,1,2,KCg-d,MBON01,left,right
720575940619229037,720575940624117245,38319,64506,1,1,1,KCg-d,MBON01,left,right
720575940619475376,720575940624117245,39188,64506,2,1,2,KCg-d,MBON01,left,right
720575940619511206,720575940624117245,39298,64506,2,1,2,KCg-d,MBON01,left,right
720575940619696660,720575940624117245,40038,64506,7,1,7,KCg-d,MBON01,left,right
720575940619813637,720575940643309197,40548,132236,4,1,4,KCg-d,MBON01,right,left
720575940619825237,720575940624117245,40585,64506,1,1,1,KCg-d,MBON01,left,right
720575940619866657,720575940643309197,40764,132236,1,1,1,KCg-d,MBON01,right,left
720575940619906987,720575940624117245,40941,64506,2,1,2,KCg-d,MBON01,left,right
720575940619949040,720575940624117245,41137,64506,6,1,6,KCg-d,MBON01,left,right
720575940620002036,720575940624117245,41388,64506,1,1,1,KCg-d,MBON01,left,right
720575940620197658,720575940624117245,42352,64506,4,1,4,KCg-d,MBON01,left,right
720575940620200709,720575940624117245,42372,64506,3,1,3,KCg-d,MBON01,left,right
720575940620205951,720575940643309197,42404,132236,3,1,3,KCg-d,MBON01,right,left
720575940620225264,720575940624117245,42485,64506,3,1,3,KCg-d,MBON01,left,right
720575940620226729,720575940643309197,42495,132236,3,1,3,KCg-d,MBON01,right,left
720575940620227617,720575940624117245,42501,64506,4,1,4,KCg-d,MBON01,left,right
720575940620347329,720575940624117245,43055,64506,1,1,1,KCg-d,MBON01,left,right
720575940620576494,720575940643309197,44214,132236,2,1,2,KCg-d,MBON01,right,left
720575940621084771,720575940643309197,47211,132236,3,1,3,KCg-d,MBON01,right,left
720575940621146956,720575940643309197,47590,132236,5,1,5,KCg-d,MBON01,right,left
720575940621174742,720575940624117245,47741,64506,2,1,2,KCg-d,MBON01,left,right
720575940621527337,720575940624117245,49716,64506,1,1,1,KCg-d,MBON01,left,right
720575940621650116,720575940624117245,50494,64506,6,1,6,KCg-d,MBON01,left,right
720575940621786602,720575940624117245,51330,64506,4,1,4,KCg-d,MBON01,left,right
720575940621796390,720575940624117245,51386,64506,6,1,6,KCg-d,MBON01,left,right
720575940621810871,720575940643309197,51493,132236,1,1,1,KCg-d,MBON01,right,left
720575940621866861,720575940643309197,51799,132236,1,1,1,KCg-d,MBON01,right,left
720575940621936362,720575940624117245,52147,64506,9,1,9,KCg-d,MBON01,left,right
720575940622001020,720575940624117245,52469,64506,6,1,6,KCg-d,MBON01,left,right
720575940622013097,720575940624117245,52530,64506,2,1,2,KCg-d,MBON01,left,right
720575940622017148,720575940624117245,52554,64506,1,1,1,KCg-d,MBON01,left,right
720575940622022583,720575940624117245,52586,64506,3,1,3,KCg-d,MBON01,left,right
720575940622204669,720575940643309197,53707,132236,6,1,6,KCg-d,MBON01,right,left
720575940622776013,720575940624117245,56921,64506,3,1,3,KCg-d,MBON01,left,right
720575940622884499,720575940624117245,57473,64506,4,1,4,KCg-d,MBON01,left,right
720575940623070868,720575940624117245,58591,64506,7,1,7,KCg-d,MBON01,left,right
720575940623207108,720575940624117245,59428,64506,4,1,4,KCg-d,MBON01,left,right
720575940623231428,720575940624117245,59569,64506,6,1,6,KCg-d,MBON01,left,right
720575940623328231,720575940643309197,60113,132236,5,1,5,KCg-d,MBON01,right,left
720575940623365045,720575940624117245,60325,64506,4,1,4,KCg-d,MBON01,left,right
720575940623393002,720575940624117245,60481,64506,2,1,2,KCg-d,MBON01,left,right
720575940623430365,720575940624117245,60685,64506,5,1,5,KCg-d,MBON01,left,right
720575940623767991,720575940624117245,62481,64506,4,1,4,KCg-d,MBON01,left,right
720575940623859127,720575940624117245,62945,64506,3,1,3,KCg-d,MBON01,left,right
720575940623906633,720575940624117245,63251,64506,3,1,3,KCg-d,MBON01,left,right
720575940624465900,720575940643309197,66538,132236,3,1,3,KCg-d,MBON01,right,left
720575940624562836,720575940643309197,66970,132236,1,1,1,KCg-d,MBON01,right,left
720575940624879388,720575940624117245,68593,64506,4,1,4,KCg-d,MBON01,left,right
720575940625003907,720575940624117245,69324,64506,3,1,3,KCg-d,MBON01,left,right
720575940625343546,720575940643309197,70984,132236,3,1,3,KCg-d,MBON01,right,left
720575940625372293,720575940643309197,71129,132236,2,1,2,KCg-d,MBON01,right,left
720575940625488659,720575940624117245,71713,64506,1,1,1,KCg-d,MBON01,left,right
720575940625598802,720575940643309197,72229,132236,2,1,2,KCg-d,MBON01,right,left
720575940625632893,720575940624117245,72385,64506,1,1,1,KCg-d,MBON01,left,right
720575940625777939,720575940643309197,73153,132236,2,1,2,KCg-d,MBON01,right,left
720575940625981028,720575940624117245,74241,64506,5,1,5,KCg-d,MBON01,left,right
720575940626080868,720575940624117245,74746,64506,11,1,11,KCg-d,MBON01,left,right
720575940626242054,720575940643309197,75508,132236,2,1,2,KCg-d,MBON01,right,left
720575940626316974,720575940624117245,75881,64506,3,1,3,KCg-d,MBON01,left,right
720575940626394609,720575940643309197,76264,132236,1,1,1,KCg-d,MBON01,right,left
